1D Histogram for $c_1 \ \textrm{[GeV}^{-1}\textrm{]}$
X	Y
-1.476727	0.000000
-1.476727	0.698684
-1.403218	0.698684
-1.403218	0.682121
-1.329709	0.682121
-1.329709	0.661937
-1.256200	0.661937
-1.256200	0.682678
-1.182691	0.682678
-1.182691	0.682287
-1.109183	0.682287
-1.109183	0.689291
-1.035674	0.689291
-1.035674	0.675303
-0.962165	0.675303
-0.962165	0.689401
-0.888656	0.689401
-0.888656	0.658663
-0.815147	0.658663
-0.815147	0.683909
-0.741638	0.683909
-0.741638	0.696356
-0.668129	0.696356
-0.668129	0.693909
-0.594620	0.693909
-0.594620	0.637654
-0.521111	0.637654
-0.521111	0.686125
-0.447602	0.686125
-0.447602	0.684669
-0.374093	0.684669
-0.374093	0.695028
-0.300584	0.695028
-0.300584	0.709798
-0.227076	0.709798
-0.227076	0.693462
-0.153567	0.693462
-0.153567	0.647069
-0.080058	0.647069
-0.080058	0.655446
-0.006549	0.655446
-0.006549	0.000000

-1.476792	0.000000
-1.476792	0.715420
-1.403284	0.715420
-1.403284	0.698292
-1.329775	0.698292
-1.329775	0.669639
-1.256267	0.669639
-1.256267	0.681843
-1.182759	0.681843
-1.182759	0.636910
-1.109251	0.636910
-1.109251	0.679989
-1.035743	0.679989
-1.035743	0.661103
-0.962235	0.661103
-0.962235	0.674096
-0.888727	0.674096
-0.888727	0.679922
-0.815219	0.679922
-0.815219	0.699627
-0.741711	0.699627
-0.741711	0.621869
-0.668203	0.621869
-0.668203	0.694961
-0.594694	0.694961
-0.594694	0.703068
-0.521186	0.703068
-0.521186	0.715129
-0.447678	0.715129
-0.447678	0.706446
-0.374170	0.706446
-0.374170	0.641760
-0.300662	0.641760
-0.300662	0.667105
-0.227154	0.667105
-0.227154	0.674910
-0.153646	0.674910
-0.153646	0.682766
-0.080138	0.682766
-0.080138	0.699088
-0.006630	0.699088
-0.006630	0.000000

-1.476874	0.000000
-1.476874	0.712770
-1.403362	0.712770
-1.403362	0.559928
-1.329851	0.559928
-1.329851	0.692025
-1.256339	0.692025
-1.256339	0.715828
-1.182827	0.715828
-1.182827	0.703216
-1.109316	0.703216
-1.109316	0.746679
-1.035804	0.746679
-1.035804	0.635037
-0.962293	0.635037
-0.962293	0.699044
-0.888781	0.699044
-0.888781	0.686656
-0.815270	0.686656
-0.815270	0.693077
-0.741758	0.693077
-0.741758	0.698153
-0.668247	0.698153
-0.668247	0.688196
-0.594735	0.688196
-0.594735	0.735940
-0.521224	0.735940
-0.521224	0.684633
-0.447712	0.684633
-0.447712	0.690642
-0.374201	0.690642
-0.374201	0.670142
-0.300689	0.670142
-0.300689	0.633254
-0.227178	0.633254
-0.227178	0.650784
-0.153666	0.650784
-0.153666	0.656366
-0.080155	0.656366
-0.080155	0.650938
-0.006643	0.650938
-0.006643	0.000000

1D Histogram for $c_3 \ \textrm{[GeV}^{-1}\textrm{]}$
X	Y
-7.138925	0.000000
-7.138925	0.089877
-6.783127	0.089877
-6.783127	0.102201
-6.427329	0.102201
-6.427329	0.118157
-6.071530	0.118157
-6.071530	0.137569
-5.715732	0.137569
-5.715732	0.151479
