1D Histogram for $c_1 \ \textrm{[GeV}^{-1}\textrm{]}$
X	Y
-1.476727	0.000000
-1.476727	0.632768
-1.403218	0.632768
-1.403218	0.652024
-1.329709	0.652024
-1.329709	0.631063
-1.256200	0.631063
-1.256200	0.652600
-1.182691	0.652600
-1.182691	0.651831
-1.109183	0.651831
-1.109183	0.674711
-1.035674	0.674711
-1.035674	0.657696
-0.962165	0.657696
-0.962165	0.662179
-0.888656	0.662179
-0.888656	0.666016
-0.815147	0.666016
-0.815147	0.676480
-0.741638	0.676480
-0.741638	0.682577
-0.668129	0.682577
-0.668129	0.712679
-0.594620	0.712679
-0.594620	0.658697
-0.521111	0.658697
-0.521111	0.708230
-0.447602	0.708230
-0.447602	0.693671
-0.374093	0.693671
-0.374093	0.715167
-0.300584	0.715167
-0.300584	0.731275
-0.227076	0.731275
-0.227076	0.726221
-0.153567	0.726221
-0.153567	0.711054
-0.080058	0.711054
-0.080058	0.706852
-0.006549	0.706852
-0.006549	0.000000

-1.476792	0.000000
-1.476792	0.649925
-1.403284	0.649925
-1.403284	0.648976
-1.329775	0.648976
-1.329775	0.653487
-1.256267	0.653487
-1.256267	0.601792
-1.182759	0.601792
-1.182759	0.631662
-1.109251	0.631662
-1.109251	0.664140
-1.035743	0.664140
-1.035743	0.661110
-0.962235	0.661110
-0.962235	0.650194
-0.888727	0.650194
-0.888727	0.643245
-0.815219	0.643245
-0.815219	0.715947
-0.741711	0.715947
-0.741711	0.647456
-0.668203	0.647456
-0.668203	0.693535
-0.594694	0.693535
-0.594694	0.722392
-0.521186	0.722392
-0.521186	0.694426
-0.447678	0.694426
-0.447678	0.731225
-0.374170	0.731225
-0.374170	0.687209
-0.300662	0.687209
-0.300662	0.692025
-0.227154	0.692025
-0.227154	0.710106
-0.153646	0.710106
-0.153646	0.753191
-0.080138	0.753191
-0.080138	0.751901
-0.006630	0.751901
-0.006630	0.000000

-1.476874	0.000000
-1.476874	0.644646
-1.403362	0.644646
-1.403362	0.571459
-1.329851	0.571459
-1.329851	0.625379
-1.256339	0.625379
-1.256339	0.664533
-1.182827	0.664533
-1.182827	0.682078
-1.109316	0.682078
-1.109316	0.704216
-1.035804	0.704216
-1.035804	0.641908
-0.962293	0.641908
-0.962293	0.674488
-0.888781	0.674488
-0.888781	0.665498
-0.815270	0.665498
-0.815270	0.669943
-0.741758	0.669943
-0.741758	0.737120
-0.668247	0.737120
-0.668247	0.729077
-0.594735	0.729077
-0.594735	0.724528
-0.521224	0.724528
-0.521224	0.712111
-0.447712	0.712111
-0.447712	0.693328
-0.374201	0.693328
-0.374201	0.719097
-0.300689	0.719097
-0.300689	0.694667
-0.227178	0.694667
-0.227178	0.705839
-0.153666	0.705839
-0.153666	0.725294
-0.080155	0.725294
-0.080155	0.618099
-0.006643	0.618099
-0.006643	0.000000

1D Histogram for $c_3 \ \textrm{[GeV}^{-1}\textrm{]}$
X	Y
-7.138925	0.000000
-7.138925	0.006033
-6.783127	0.006033
-6.783127	0.008301
-6.427329	0.008301
-6.427329	0.011651
-6.071530	0.011651
-6.071530	0.016478
-5.715732	0.016478
-5.715732	0.022162
-5.359934	0.022162
-5.359934	0.029258
-5.004136	0.029258
-5.004136	0.039952
-4.648337	0.039952
-4.648337	0.049610
-4.292539	0.049610
-4.292539	0.060472
-3.936741	0.060472
-3.936741	0.071998
-3.580942	0.071998
-3.580942	0.091457
-3.225144	0.091457
-3.225144	0.112501
-2.869346	0.112501
-2.869346	0.148042
-2.513548	0.148042
-2.513548	0.187709
-2.157749	0.187709
-2.157749	0.230686
-1.801951	0.230686
-1.801951	0.274246
-1.446153	0.274246
-1.446153	0.324053
-1.090355	0.324053
-1.090355	0.362956
-0.734556	0.362956
-0.734556	0.384993
-0.378758	0.384993
-0.378758	0.378024
-0.022960	0.378024
-0.022960	0.000000

-7.136636	0.000000
-7.136636	0.011864
-6.780950	0.011864
-6.780950	0.014673
-6.425265	0.014673
-6.425265	0.020730
-6.069579	0.020730
-6.069579	0.028482
-5.713894	0.028482
-5.713894	0.033451
-5.358208	0.033451
-5.358208	0.045121
-5.002523	0.045121
-5.002523	0.059869
-4.646837	0.059869
-4.646837	0.069979
-4.291152	0.069979
-4.291152	0.092112
-3.935466	0.092112
-3.935466	0.104042
-3.579781	0.104042
-3.579781	0.118179
-3.224095	0.118179
-3.224095	0.156305
-2.868410	0.156305
-2.868410	0.184315
-2.512724	0.184315
-2.512724	0.211047
-2.157039	0.211047
-2.157039	0.239542
-1.801353	0.239542
-1.801353	0.262777
-1.445668	0.262777
-1.445668	0.288204
-1.089982	0.288204
-1.089982	0.302662
-0.734297	0.302662
-0.734297	0.289508
-0.378611	0.289508
-0.378611	0.278610
-0.022926	0.278610
-0.022926	0.000000

-7.137139	0.000000
-7.137139	0.013693
-6.781441	0.013693
-6.781441	0.019323
-6.425744	0.019323
-6.425744	0.023299
-6.070046	0.023299
-6.070046	0.029484
-5.714348	0.029484
-5.714348	0.040014
-5.358650	0.040014
-5.358650	0.055682
-5.002952	0.055682
-5.002952	0.056167
-4.647254	0.056167
-4.647254	0.079995
-4.291556	0.079995
-4.291556	0.091076
-3.935858	0.091076
-3.935858	0.108255
-3.580161	0.108255
-3.580161	0.128646
-3.224463	0.128646
-3.224463	0.151280
-2.868765	0.151280
-2.868765	0.187931
-2.513067	0.187931
-2.513067	0.211638
-2.157369	0.211638
-2.157369	0.233399
-1.801671	0.233399
-1.801671	0.268782
-1.445973	0.268782
-1.445973	0.264461
-1.090275	0.264461
-1.090275	0.304640
-0.734578	0.304640
-0.734578	0.275304
-0.378880	0.275304
-0.378880	0.268305
-0.023182	0.268305
-0.023182	0.000000

